phrase,total_occurrences,bias_score,p_dem,p_rep,n_dem,n_rep,n_senators
liberal,92,1.0,0.0,0.004332674013374776,0,92,48
rubio,242,0.9958931825166472,2.3353573096683792e-05,0.011349722143731752,1,241,9
arkansas,152,0.9868631319496131,4.6707146193367584e-05,0.007064142413111049,2,150,5
dakota,69,0.9855205977236913,2.3353573096683792e-05,0.0032024112272770085,1,68,6
communist,476,0.9768105772217787,0.0002568893040635217,0.02189884148064425,11,465,27
nebraska,67,0.9699423307221257,4.6707146193367584e-05,0.0030611283790147876,2,65,3
kentucky,212,0.9666982496853835,0.00016347501167678655,0.0096543279645851,7,205,5
player,50,0.9595124099783203,4.6707146193367584e-05,0.0022605255721955355,2,48,21
foxbusiness,82,0.9504008296894272,9.341429238673517e-05,0.003673354054817745,4,78,5
origins,53,0.9422125983466246,7.006071929005138e-05,0.0023547141377036826,3,50,30
mississippi,98,0.9373450272496314,0.00014012143858010276,0.004332674013374776,6,92,3
pelosi,295,0.9301361479794954,0.00046707146193367583,0.012903833474616181,20,274,12
_cache,116,0.9291377998478235,0.00018682858477347034,0.005086182537439954,8,108,12
column,86,0.9282837846509602,0.00014012143858010276,0.0037675426203258922,6,80,37
nancy,67,0.9230933607629092,0.00011676786548341896,0.002919845530752567,5,62,19
foxnews,139,0.9026540714558512,0.0003035964502568893,0.00593387962701328,13,126,29
fm,72,0.8986076786071193,0.00016347501167678655,0.0030611283790147876,7,65,69
ag producers,58,0.8917573333378646,0.00014012143858010276,0.00244890270321183,6,52,23
wish list,86,0.8904285993591048,0.00021018215787015413,0.0036262597720636714,9,77,59
lied,79,0.8801281854260271,0.00021018215787015413,0.003296599792785156,9,70,99
kansas,104,0.878496455145237,0.0002802428771602055,0.004332674013374776,12,92,11
china,1354,0.8770344913983167,0.0036898645492760393,0.05632476217387209,158,1196,23
propaganda,117,0.8737074466367698,0.0003269500233535731,0.0048507111236695865,14,103,52
ranchers,187,0.8699531425287803,0.0005371321812237273,0.0077234623716680795,23,164,93
missouri,136,0.8676902178992691,0.0003970107426436245,0.005604219647734765,17,119,4
cfm,180,0.8518823373488933,0.0005838393274170948,0.007299613826881417,25,155,37
fort,79,0.8514790480120713,0.0002568893040635217,0.0032024112272770085,11,68,461
taiwan,176,0.8482563848230658,0.0005838393274170948,0.0071112366958651215,25,151,3
regime,62,0.844665007969711,0.00021018215787015413,0.002495996985965904,9,53,41
radical,51,0.8438888007822468,0.00016347501167678655,0.0019308655929170199,7,41,29
indiana,141,0.8402976623449182,0.0004904250350303596,0.005651313930488839,21,120,4
ga,60,0.8390636171400708,0.00021018215787015413,0.0024018084204577564,9,51,504
cfap,158,0.8294707119119937,0.0005838393274170948,0.0062635396062917965,25,133,69
prayer,74,0.8248530406427169,0.0002802428771602055,0.002919845530752567,12,62,121
wuhan,191,0.8185096211631936,0.0007473143390938813,0.007487990957897712,32,159,3
wsj,83,0.8171653357344237,0.0003269500233535731,0.0032495055100310822,14,69,11
chinese,605,0.8149653793273935,0.0024054180289584306,0.0235942356597909,103,501,7
cruz,58,0.812726551131102,0.00023353573096683791,0.0022605255721955355,10,48,3
food assistance program,214,0.8121513514133875,0.0008640822045773004,0.008335688047471037,37,177,23
cattle,52,0.8119374167841815,0.00021018215787015413,0.002025054158425167,9,43,28
praying,72,0.8029975499764133,0.0003035964502568893,0.0027785626824903455,13,59,53
tennessee,129,0.7869838868568839,0.0005838393274170948,0.00489780540642366,25,104,4
party,360,0.786196668915391,0.0016347501167678655,0.01365734199868136,70,290,64
producers,364,0.7854521820816096,0.0016581036898645493,0.013798624846943582,71,293,119
unrelated,71,0.7828529855194417,0.0003269500233535731,0.0026843741169821985,14,57,52
speaker,224,0.7826985131890916,0.0010275572162540868,0.008429876612979184,44,179,27
full interview,55,0.779403056401093,0.0002568893040635217,0.002072148441179241,11,44,35
private sector,77,0.7698027349069912,0.00037365716954694067,0.002872751247998493,16,61,59
ohio,356,0.769712446129265,0.0017281644091546007,0.013280587736648771,74,282,14
articles,81,0.7672204492209792,0.0003970107426436245,0.003014034096260714,17,64,32
