,name,twitter,party,tweet,tweet_published
0,"Robert P. Casey, Jr.",SenBobCasey,Democrat,"WATCH: In today's Senate HELP Committee hearing, I asked Dr. Fauci if he had concerns about states reopening too soon. Dr. Fauci: ""There is a real risk that you will trigger an outbreak you may not be able to control"" leading to ""suffering and death that could be avoided."" ",2020-05-12
1,"Robert P. Casey, Jr.",SenBobCasey,Democrat,"The Coronavirus Task Force, including Drs. Birx & Fauci, will ""take a back seat to the forward-looking, 'what's next' message"" RT if you think the President should prioritize hearing from scientists and public health experts to determine 'what's next.' ",2020-05-05
2,Robert Menendez,SenatorMenendez,Democrat,"Dr. Fauci is right. We can’t rush this. Folks won’t have the confidence to venture out until they know for sure that they are COVID-free and anyone they come in contact with is, too. If we want to reopen our economy and return to normal, we need a comprehensive testing strategy. ",2020-05-12
3,Bernard Sanders,SenSanders,Independent,"Today, I asked Dr. Fauci whether we need to manufacture and distribute free, high-quality masks and guarantee free vaccines to everyone in America. He agreed. The Senate must listen to our public health experts and immediately pass my proposals to do exactly that. ",2020-06-30
4,Sheldon Whitehouse,SenWhitehouse,Democrat,"""Fauci, the director of National Institute of Allergy and Infectious Disease, acknowledged the mistake during a House Oversight Committee Hearing on Thursday: ‘It is a failing. I mean, let’s admit it.’”",2020-03-16
5,Lamar Alexander,SenAlexander,Republican,"Dr. Anthony Fauci, @NIAIDNews: “[COVID-19] is such an important problem. It transcends all of us individually, and we have to be working as a team. I enjoy very much working with your senators and governors, because it’s at the local level we’re going to make this thing work.”",2020-05-13
6,Lamar Alexander,SenAlexander,Republican,".@NIAIDNews Fauci at @EnergyCommerce hearing: “I’ve said to this committee, literally, many times over the many years, that we forget things when we get distant from them… we need to establish a system so we are prepared for future outbreaks.”",2020-06-23
7,Lamar Alexander,SenAlexander,Republican,"I’m about to chair the Senate HELP Committee’s hearing to get an update from Dr. Fauci at @NIAIDNews, @CDCDirector, @HHS_ASH and @SteveFDA about their work to help Americans go back to work and school as rapidly and safely as possible. Watch live here:",2020-05-12
8,Lamar Alexander,SenAlexander,Republican,"I’m chairing the Senate HELP hearing to get an update from Dr. Fauci at @NIAIDNews, @CDCDirector, @HHS_ASH and @SteveFDA about the progress being made to help Americans go back to work and back to school as safely as possible. Watch live here: https://www.help.senate.gov/hearings/covid-19-update-on-progress-toward-safely-getting-back-to-work-and-back-to-school",2020-06-30
9,Susan M. Collins,SenatorCollins,Republican,COVID-19 has had a disastrous effect on Maine's tourism industry. Increased testing is essential to safely reopening our state & protecting our health. I urged top health officials—including Dr. Fauci &amp; ADM Giroir—to work with states to better align testing supplies with demand. ,2020-06-30
