phrase,total_occurrences,bias_score,p_dem,p_rep,n_dem,n_rep
coronavirus,22908,0.15866253106661954,0.3160439047174218,0.4352453612131487,13533,9242
covid19,21500,-0.1011057379508723,0.3573797290985521,0.2917490816614863,15303,6195
pandemic,15854,-0.19950530799059363,0.2757823446987389,0.18404445700291985,11809,3908
covid,13870,0.027475234490700166,0.21244745446053245,0.22445135160591503,9097,4766
19,13641,0.03472282912855297,0.2078935077066791,0.22285014599227654,8902,4732
covid 19,13534,0.03409333443475387,0.20635217188229799,0.2209192803993595,8836,4691
amp,11950,-0.0782007117265421,0.19593647828117702,0.16751436375624,8390,3557
health,10825,-0.24436832692981383,0.19311069593647828,0.1172647640576434,8269,2490
help,8828,0.05792636203289745,0.13201774871555347,0.14825280210982386,5653,3148
need,8256,-0.2544459116866731,0.14778141055581503,0.08783083733634736,6328,1865
https,7911,0.1269018003939303,0.11256422232601589,0.14528586229631724,4820,3085
today,6284,0.00556394118677648,0.09738439981317142,0.09847414523876802,4170,2091
gov,6211,0.07458124011553852,0.09194301728164408,0.10676273900348497,3937,2267
must,5569,-0.3146258008408688,0.10198505371321812,0.05316944522934916,4367,1129
crisis,5412,-0.29186110009925564,0.09871555347968239,0.05411133088443063,4227,1149
care,5168,-0.22528207171901984,0.09124241008874358,0.05769049637374023,3907,1225
response,5138,-0.015187006314491732,0.08073330219523588,0.0783177922200245,3457,1663
workers,5107,-0.25156317533170425,0.09119570294255021,0.05453517942921729,3905,1158
relief,4861,0.06649650346194728,0.07230266230733302,0.0826033719506452,3096,1754
act,4755,-0.06225437811214713,0.07692666978047641,0.0679099557313742,3294,1442
house,4751,-0.12950866946291759,0.08017281644091546,0.061787698973344636,3433,1312
americans,4632,-0.12415236434006273,0.07737038766931341,0.060280681925214276,3313,1280
work,4616,0.08600288234313884,0.06753853339560953,0.0802486578129415,2892,1704
public,4424,-0.2111021508702632,0.07772069126576366,0.05062635396062918,3328,1075
support,4357,-0.041590920996534796,0.0694535263895376,0.06390694169727795,2974,1357
spread,4301,0.045498732624931426,0.06492293320878094,0.07111236695865122,2780,1510
testing,4257,-0.19301370317528785,0.07414759458197104,0.05015541113308844,3175,1065
families,4203,-0.20063112603762878,0.07356375525455394,0.0489780540642366,3150,1040
resources,4164,-0.09189135183095257,0.06879962634283045,0.057219553546199495,2946,1215
people,4161,-0.17736478906187028,0.07104156936011209,0.04963737402279363,3042,1054
us,4120,-0.08853425260394075,0.06749182624941616,0.05651313930488839,2890,1200
get,4104,-0.11331652238452178,0.06835590845399346,0.05444099086370915,2927,1156
communities,4084,-0.281255135868255,0.07438113031293787,0.041725534520109256,3185,886
businesses,4075,0.18527107068918813,0.05516113965436712,0.0802486578129415,2362,1704
keep,3879,-0.07600953716406804,0.06328818309201308,0.054346802298201,2710,1154
small,3793,0.11378755637271909,0.054483886034563285,0.0684750871244231,2333,1454
state,3759,0.07035648565797079,0.05562821111630079,0.06404822454554017,2382,1360
www,3687,0.2018314701133253,0.049229332087809434,0.07412640105491193,2108,1574
continue,3617,0.03006057415029015,0.055254553946753854,0.05867947631157577,2366,1246
trump,3590,-0.6603918120561786,0.07529191966370855,0.015399830460582086,3224,327
