,name,twitter,party,title,gender,state,district
0,Sherrod Brown,SenSherrodBrown,Democrat,senator,M,ohio,
1,Maria Cantwell,SenatorCantwell,Democrat,senator,F,washington,
2,Benjamin L. Cardin,SenatorCardin,Democrat,senator,M,maryland,
3,Thomas R. Carper,SenatorCarper,Democrat,senator,M,delaware,
4,"Robert P. Casey, Jr.",SenBobCasey,Democrat,senator,M,pennsylvania,
5,Dianne Feinstein,SenFeinstein,Democrat,senator,F,california,
6,Amy Klobuchar,SenAmyKlobuchar,Democrat,senator,F,minnesota,
7,Robert Menendez,SenatorMenendez,Democrat,senator,M,new jersey,
8,Bernard Sanders,SenSanders,Independent,senator,M,VT,
9,Debbie Stabenow,SenStabenow,Democrat,senator,F,michigan,
10,Jon Tester,SenatorTester,Democrat,senator,M,montana,
11,Sheldon Whitehouse,SenWhitehouse,Democrat,senator,M,rhode island,
12,John Barrasso,SenJohnBarrasso,Republican,senator,M,Wyoming,
13,Roger F. Wicker,SenatorWicker,Republican,senator,M,mississippi,
14,Lamar Alexander,SenAlexander,Republican,senator,M,tennessee,
15,Susan M. Collins,SenatorCollins,Republican,senator,F,maine,
16,John Cornyn,JohnCornyn,Republican,senator,M,texas,
17,Richard J. Durbin,SenatorDurbin,Democrat,senator,M,illinois,
18,Michael B. Enzi,SenatorEnzi,Republican,senator,M,Wyoming,
19,Lindsey Graham,GrahamBlog,Republican,senator,M,south carolina,
20,James M. Inhofe,InhofePress,Republican,senator,M,oklahoma,
21,Mitch McConnell,McConnellPress,Republican,senator,M,kentucky,
22,Jeff Merkley,SenJeffMerkley,Democrat,senator,M,oregon,
23,Jack Reed,SenJackReed,Democrat,senator,M,rhode island,
24,James E. Risch,SenatorRisch,Republican,senator,M,idaho,
25,Pat Roberts,SenPatRoberts,Republican,senator,M,kansas,
26,Jeanne Shaheen,SenatorShaheen,Democrat,senator,F,new hampshire,
27,Tom Udall,SenatorTomUdall,Democrat,senator,M,new mexico,
28,Mark R. Warner,MarkWarner,Democrat,senator,M,vermont,
29,Kirsten E. Gillibrand,GillibrandNY,Democrat,senator,F,new york,
30,Christopher A. Coons,ChrisCoons,Democrat,senator,M,delaware,
31,"Joe Manchin, III",Sen_JoeManchin,Democrat,senator,M,west virginia,
32,Robert B. Aderholt,Robert_Aderholt,Republican,house of representatives,M,alabama,4.0
33,Justin Amash,,Libertarian,house of representatives,M,michigan,3.0
34,Tammy Baldwin,SenatorBaldwin,Democrat,senator,F,wisconsin,
35,Karen Bass,RepKarenBass,Democrat,house of representatives,F,california,37.0
36,Michael F. Bennet,SenatorBennet,Democrat,senator,M,colorado,
37,Gus M. Bilirakis,RepGusBilirakis,Republican,house of representatives,M,florida,12.0
38,Rob Bishop,RepRobBishop,Republican,house of representatives,M,utah,1.0
39,"Sanford D. Bishop, Jr.",SanfordBishop,Democrat,house of representatives,M,georgia,2.0
40,Marsha Blackburn,MarshaBlackburn,Republican,senator,F,tennessee,
41,Earl Blumenauer,BlumenauerMedia,Democrat,house of representatives,M,oregon,3.0
42,Richard Blumenthal,SenBlumenthal,Democrat,senator,M,connecticut,
43,Roy Blunt,RoyBlunt,Republican,senator,M,missouri,
44,John Boozman,JohnBoozman,Republican,senator,M,arkansas,
45,Kevin Brady,RepKevinBrady,Republican,house of representatives,M,texas,8.0
46,Mo Brooks,RepMoBrooks,Republican,house of representatives,M,alabama,5.0
47,Vern Buchanan,VernBuchanan,Republican,house of representatives,M,florida,16.0
48,Larry Bucshon,RepLarryBucshon,Republican,house of representatives,M,indiana,8.0
49,Michael C. Burgess,MichaelCBurgess,Republican,house of representatives,M,texas,26.0
50,Richard Burr,SenatorBurr,Republican,senator,M,north carolina,
51,G. K. Butterfield,GKButterfield,Democrat,house of representatives,M,north carolina,1.0
52,Ken Calvert,KenCalvert,Republican,house of representatives,M,california,42.0
53,Shelley Moore Capito,SenCapito,Republican,senator,F,west virginia,
54,André Carson,RepAndreCarson,Democrat,house of representatives,M,indiana,7.0
55,John R. Carter,JudgeCarter,Republican,house of representatives,M,texas,31.0
56,Bill Cassidy,SenBillCassidy,Republican,senator,M,louisiana,
57,Kathy Castor,USRepKCastor,Democrat,house of representatives,F,florida,14.0
58,Steve Chabot,RepSteveChabot,Republican,house of representatives,M,ohio,1.0
59,Judy Chu,RepJudyChu,Democrat,house of representatives,F,california,27.0
60,David N. Cicilline,RepCicilline,Democrat,house of representatives,M,rhode island,1.0
61,Yvette D. Clarke,RepYvetteClarke,Democrat,house of representatives,F,new york,9.0
62,Wm. Lacy Clay,,Democrat,house of representatives,M,missouri,1.0
63,Emanuel Cleaver,RepCleaver,Democrat,house of representatives,M,missouri,5.0
64,James E. Clyburn,WhipClyburn,Democrat,house of representatives,M,south carolina,6.0
65,Steve Cohen,RepCohen,Democrat,house of representatives,M,tennessee,9.0
66,Tom Cole,TomColeOK04,Republican,house of representatives,M,oklahoma,4.0
67,K. Michael Conaway,ConawayTX11,Republican,house of representatives,M,texas,11.0
68,Gerald E. Connolly,GerryConnolly,Democrat,house of representatives,M,vermont,11.0
69,Jim Cooper,RepJimCooper,Democrat,house of representatives,M,tennessee,5.0
70,Jim Costa,RepJimCosta,Democrat,house of representatives,M,california,16.0
71,Joe Courtney,RepJoeCourtney,Democrat,house of representatives,M,connecticut,2.0
72,Mike Crapo,MikeCrapo,Republican,senator,M,idaho,
73,"Eric A. ""Rick"" Crawford",RepRickCrawford,Republican,house of representatives,M,arkansas,1.0
74,Henry Cuellar,RepCuellar,Democrat,house of representatives,M,texas,28.0
75,Danny K. Davis,RepDannyDavis,Democrat,house of representatives,M,illinois,7.0
76,Susan A. Davis,RepSusanDavis,Democrat,house of representatives,F,california,53.0
77,Peter A. DeFazio,RepPeterDeFazio,Democrat,house of representatives,M,oregon,4.0
78,Diana DeGette,RepDianaDeGette,Democrat,house of representatives,F,colorado,1.0
79,Rosa L. DeLauro,RosaDeLauro,Democrat,house of representatives,F,connecticut,3.0
80,Scott DesJarlais,DesJarlaisTN04,Republican,house of representatives,M,tennessee,4.0
81,Theodore E. Deutch,RepTedDeutch,Democrat,house of representatives,M,florida,22.0
82,Mario Diaz-Balart,MarioDB,Republican,house of representatives,M,florida,25.0
83,Lloyd Doggett,RepLloydDoggett,Democrat,house of representatives,M,texas,35.0
84,Michael F. Doyle,USRepMikeDoyle,Democrat,house of representatives,M,pennsylvania,18.0
85,Jeff Duncan,RepJeffDuncan,Republican,house of representatives,M,south carolina,3.0
86,Eliot L. Engel,RepEliotEngel,Democrat,house of representatives,M,new york,16.0
87,Anna G. Eshoo,RepAnnaEshoo,Democrat,house of representatives,F,california,18.0
88,"Charles J. ""Chuck"" Fleischmann",RepChuck,Republican,house of representatives,M,tennessee,3.0
89,Bill Flores,RepBillFlores,Republican,house of representatives,M,texas,17.0
90,Jeff Fortenberry,JeffFortenberry,Republican,house of representatives,M,nebraska,1.0
91,Virginia Foxx,VirginiaFoxx,Republican,house of representatives,F,north carolina,5.0
92,Marcia L. Fudge,RepMarciaFudge,Democrat,house of representatives,F,ohio,11.0
93,John Garamendi,RepGaramendi,Democrat,house of representatives,M,california,3.0
94,Cory Gardner,SenCoryGardner,Republican,senator,M,colorado,
95,Bob Gibbs,RepBobGibbs,Republican,house of representatives,M,ohio,7.0
96,Louie Gohmert,RepLouieGohmert,Republican,house of representatives,M,texas,1.0
97,Paul A. Gosar,RepGosar,Republican,house of representatives,M,arizona,4.0
98,Kay Granger,RepKayGranger,Republican,house of representatives,F,texas,12.0
99,Chuck Grassley,ChuckGrassley,Republican,senator,M,iowa,
100,Sam Graves,RepSamGraves,Republican,house of representatives,M,missouri,6.0
101,Tom Graves,RepTomGraves,Republican,house of representatives,M,georgia,14.0
102,Al Green,RepAlGreen,Democrat,house of representatives,M,texas,9.0
103,H. Morgan Griffith,RepMGriffith,Republican,house of representatives,M,vermont,9.0
104,Raúl M. Grijalva,RepraulGrijalva,Democrat,house of representatives,M,arizona,3.0
105,Brett Guthrie,RepGuthrie,Republican,house of representatives,M,kentucky,2.0
106,Andy Harris,RepAndyHarrisMD,Republican,house of representatives,M,maryland,1.0
107,Vicky Hartzler,RepHartzler,Republican,house of representatives,F,missouri,4.0
108,Alcee L. Hastings,RepHastingsFL,Democrat,house of representatives,M,florida,20.0
109,Martin Heinrich,MartinHeinrich,Democrat,senator,M,new mexico,
110,Jaime Herrera Beutler,HerreraBeutler,Republican,house of representatives,F,washington,3.0
111,Brian Higgins,RepBrianHiggins,Democrat,house of representatives,M,new york,26.0
112,James A. Himes,JAHimes,Democrat,house of representatives,M,connecticut,4.0
113,Mazie K. Hirono,MazieHirono,Democrat,senator,F,hawaii,
114,John Hoeven,SenJohnHoeven,Republican,senator,M,north dakota,
115,Steny H. Hoyer,LeaderHoyer,Democrat,house of representatives,M,maryland,5.0
116,Bill Huizenga,RepHuizenga,Republican,house of representatives,M,michigan,2.0
