,name,twitter,party,tweet,tweet_published
0,Sherrod Brown,SenSherrodBrown,Democrat,"My plan calls for widespread testing, intensive contract tracing, effective quarantine measures & mandatory safety protections for ALL workers. It’s time we go on offense against this virus, with a real plan to reopen the economy and keep workers safe. ",2020-05-21
1,Sherrod Brown,SenSherrodBrown,Democrat,This is dangerous. The President should not be sending conflicting messages to Americans. The best thing we can do for our economy is to save lives and stop this virus. All Ohioans should continue to follow the stay-at-home order from Governor DeWine. ,2020-03-24
2,Sherrod Brown,SenSherrodBrown,Democrat,"LIVE: @SenBooker and I discuss the best ways to get Americans through this pandemic - by putting more money in people's pockets, expanding EITC and CTC, and eliminating overdraft fees. ",2020-05-21
3,Sherrod Brown,SenSherrodBrown,Democrat,"Thank you @SenWhitehouse for joining my daily 12:45PM discussion. Together, we’re working to reverse Mitch McConnell’s $150 billion in tax giveaways to the wealthiest Americans from the last coronavirus package. You can watch our full talk here: https://www.facebook.com/SenatorSherrodBrown/videos/721161471988750/",2020-04-27
4,Sherrod Brown,SenSherrodBrown,Democrat,"NEW: I've released my requirements for a coronavirus stimulus package on Medium. We must put #WorkersFirst and hold corporations accountable. No stock buybacks, offshoring, union busting, or executive raises with taxpayer money. Read my whole plan here:",2020-03-19
5,Sherrod Brown,SenSherrodBrown,Democrat,A doctor who worked his entire career on vaccine development was ousted from HHS this week. Why? He demanded the Trump Admin combat coronavirus with treatments that actually work. President Trump's war on public health and science continues. ,2020-04-23
6,Sherrod Brown,SenSherrodBrown,Democrat,"I stand with victims and survivors of domestic violence. The House reauthorized VAWA over a year ago, but Mitch McConnell never allowed a vote. And now the risk of this violence is only going up as people isolate during this pandemic. ",2020-04-08
7,Sherrod Brown,SenSherrodBrown,Democrat,"Without the #ACA, health insurers could discriminate against or even refuse coverage to nearly 133 million Americans with pre-existing conditions - one of the groups most likely to develop severe symptoms of the coronavirus.",2020-03-23
8,Sherrod Brown,SenSherrodBrown,Democrat,"Time and again, President Trump has sided with Wall Street over workers. This pandemic has put his priorities on full display. He needs to develop a real national testing plan so people can go back to work without this staggering death toll. ",2020-05-06
9,Sherrod Brown,SenSherrodBrown,Democrat,Some ways to help during this crisis: Social distancing Reach out to elderly and limited mobility neighbors Donate blood if you’re healthy Ask your local food bank if they need supplies We're all in this together.,2020-03-16
10,Sherrod Brown,SenSherrodBrown,Democrat,"Meatpacking workers must be fully protected now – with barriers, social distancing, PPE, and more - before anyone’s asked to return. Otherwise, the President is putting their lives at risk and in turn endangering our food supply chain. Read my letter here ",2020-05-01
11,Sherrod Brown,SenSherrodBrown,Democrat,".@SenWarren and I have a message for Congress: $1,200 isn't enough to keep Americans afloat. We need comprehensive relief for consumers in the next coronavirus stimulus package. You can read our six proposals here ",2020-04-21
12,Sherrod Brown,SenSherrodBrown,Democrat,"I'm hearing from Ohioans terrified of getting sick in an epidemic, and being forced to choose between keeping their job or protecting their health and the health of the community. Millions of workers with no paid sick leave face impossible choices like this every day. #COVID19",2020-02-28
13,Sherrod Brown,SenSherrodBrown,Democrat,"Not true, @realDonaldTrump. I wrote to you more than 600 days ago demanding answers after you fired the entire White House pandemic team. https://twitter.com/mikememoli/status/1238561939174940678",2020-03-13
14,Sherrod Brown,SenSherrodBrown,Democrat,"When Mitch McConnell says he wants communities to cut services and go bankrupt, this is what happens. We need more immediate relief for our local governments in the next coronavirus package. ",2020-04-30
15,Sherrod Brown,SenSherrodBrown,Democrat,"That’s why I introduced the COVID-19 Racial and Ethnic Disparities Task Force Act, with @SenKamalaHarris - To confront the racial and ethnic disparities of the coronavirus pandemic head on. ",2020-05-20
16,Sherrod Brown,SenSherrodBrown,Democrat,"My plan calls for widespread testing, intensive contract tracing, effective quarantine measures &amp; mandatory safety protections for ALL workers. It’s time we go on offense against this virus, with a real plan to reopen the economy and keep workers safe. ",2020-05-21
